,Date,Open*,High,Low,Close**,Volume,Market Cap
311,"Aug 08, 2018",18742,19014,17099,17314,174 335 000,1 427 827 096
312,"Aug 07, 2018",19951,20634,18775,18808,170 902 000,1 550 687 029
313,"Aug 06, 2018",20716,21195,19959,19961,224 131 000,1 645 430 657
314,"Aug 05, 2018",20232,20788,20071,20702,170 719 000,1 706 106 350
315,"Aug 04, 2018",21046,21377,20028,20245,167 293 000,1 668 059 335
316,"Aug 03, 2018",21103,21254,20356,21104,160 182 000,1 738 489 387
317,"Aug 02, 2018",21937,22166,20639,21194,110 739 000,1 745 499 628
318,"Aug 01, 2018",21832,22263,21376,21898,94 695 000,1 801 736 235
319,"Jul 31, 2018",23574,23580,21368,21837,100 782 000,1 796 322 919
320,"Jul 30, 2018",24021,24021,23133,23516,371 534 000,1 933 973 657
321,"Jul 29, 2018",24128,24301,23736,24042,64 928 800,1 976 848 018
322,"Jul 28, 2018",24406,24488,23908,24103,94 602 704,1 981 403 683
323,"Jul 27, 2018",24200,25357,23538,24393,111 515 000,2 004 764 670
324,"Jul 26, 2018",24435,24974,24149,24190,130 621 000,1 987 652 085
325,"Jul 25, 2018",25107,25441,24067,24694,131 916 000,2 028 579 330
326,"Jul 24, 2018",24182,25438,23878,25418,107 106 000,2 087 653 934
327,"Jul 23, 2018",25036,25848,24084,24147,176 091 008,1 982 783 318
328,"Jul 22, 2018",25507,25999,24767,25058,163 632 992,2 057 154 656
329,"Jul 21, 2018",24840,25583,24100,25492,137 596 000,2 092 270 389
330,"Jul 20, 2018",26043,28200,24779,24845,172 104 992,2 038 768 813
331,"Jul 19, 2018",26526,27073,25570,26013,213 808 992,2 134 120 327
332,"Jul 18, 2018",25999,27026,25927,26553,251 270 000,2 177 942 363
333,"Jul 17, 2018",24673,26394,24465,25996,216 190 000,2 131 776 278
334,"Jul 16, 2018",23213,24964,22900,24658,159 618 000,2 021 585 274
335,"Jul 15, 2018",22457,23456,22144,23164,144 706 000,1 898 637 613
336,"Jul 14, 2018",21888,22611,21641,22466,122 131 000,1 841 021 358
337,"Jul 13, 2018",21205,24143,21205,21956,240 115 008,1 798 860 271
338,"Jul 12, 2018",21817,21817,20823,21213,239 220 992,1 737 596 755
339,"Jul 11, 2018",22080,22491,21483,21840,237 408 000,1 788 584 683
340,"Jul 10, 2018",23218,23254,22061,22061,174 620 992,1 806 211 959
341,"Jul 09, 2018",24351,24493,23091,23242,163 096 992,1 902 541 742
342,"Jul 08, 2018",24687,24926,24180,24354,170 284 992,1 993 066 046
343,"Jul 07, 2018",24159,24811,23703,24763,151 578 000,2 026 115 806
344,"Jul 06, 2018",24233,24255,23590,24176,206 210 000,1 977 633 950
345,"Jul 05, 2018",24565,25066,23927,24129,226 226 000,1 973 345 263
346,"Jul 04, 2018",23826,25413,23039,24519,233 191 008,2 004 800 288
347,"Jul 03, 2018",24881,25948,23810,23834,188 614 000,1 948 355 769
348,"Jul 02, 2018",23571,25216,23473,24979,156 646 000,2 039 978 302
349,"Jul 01, 2018",23914,24026,23165,23570,206 254 000,1 924 454 008
350,"Jun 30, 2018",23446,24409,23200,23836,104 743 000,1 945 735 489
351,"Jun 29, 2018",21949,23845,21736,23424,144 490 000,1 911 654 971
352,"Jun 28, 2018",22932,22964,21807,21982,164 232 992,1 793 617 651
353,"Jun 27, 2018",23192,23192,22462,22920,152 626 000,1 869 691 973
354,"Jun 26, 2018",24122,24161,22901,23096,185 207 008,1 883 659 140
355,"Jun 25, 2018",23762,24621,23568,24120,129 569 000,1 966 738 379
356,"Jun 24, 2018",24293,24388,22758,23804,107 736 000,1 940 519 519
357,"Jun 23, 2018",23682,24837,23639,24301,55 232 200,1 980 530 770
358,"Jun 22, 2018",26089,26155,23342,23648,58 715 100,1 926 901 090
359,"Jun 21, 2018",26552,26898,25962,26083,50 978 600,2 124 879 854
360,"Jun 20, 2018",26240,26565,25447,26530,93 710 200,2 160 813 853
361,"Jun 19, 2018",26538,27104,25951,26152,144 064 000,2 129 557 846
362,"Jun 18, 2018",26475,26779,25196,26546,138 831 008,2 161 107 926
