,Date,Open*,High,Low,Close**,Volume,Market Cap
229,"Oct 29, 2018",959,967,901,908,157 042 000,958 779 555
230,"Oct 28, 2018",963,964,955,961,110 869 000,1 015 391 797
231,"Oct 27, 2018",963,966,957,961,103 230 000,1 014 261 570
232,"Oct 26, 2018",964,968,954,964,115 908 000,1 017 558 216
233,"Oct 25, 2018",972,974,961,964,106 770 000,1 017 881 678
234,"Oct 24, 2018",979,988,970,972,128 267 000,1 025 479 259
235,"Oct 23, 2018",1001,1013,971,980,149 643 000,1 033 730 462
236,"Oct 22, 2018",962,1017,957,1000,177 641 000,1 054 554 351
237,"Oct 21, 2018",967,977,960,964,123 219 000,1 016 546 214
238,"Oct 20, 2018",961,969,957,969,89 769 700,1 021 386 324
239,"Oct 19, 2018",959,966,951,960,131 854 000,1 011 630 844
240,"Oct 18, 2018",982,983,955,959,135 906 000,1 010 978 108
241,"Oct 17, 2018",974,1000,960,981,156 238 000,1 033 101 132
242,"Oct 16, 2018",980,985,969,971,110 875 000,1 023 211 770
243,"Oct 15, 2018",941,1023,931,978,243 513 000,1 029 604 571
244,"Oct 14, 2018",947,965,939,941,113 477 000,990 477 230
245,"Oct 13, 2018",946,958,941,948,114 944 000,998 054 944
246,"Oct 12, 2018",914,962,914,946,195 087 000,995 850 040
247,"Oct 11, 2018",1082,1082,912,917,255 593 000,964 948 075
248,"Oct 10, 2018",1087,1091,1072,1083,175 735 000,1 138 847 516
249,"Oct 09, 2018",1098,1098,1084,1089,157 706 000,1 145 516 316
250,"Oct 08, 2018",1092,1101,1082,1095,159 584 000,1 151 714 009
251,"Oct 07, 2018",1094,1095,1068,1090,152 882 000,1 145 477 048
252,"Oct 06, 2018",1105,1105,1088,1092,146 455 000,1 147 299 655
253,"Oct 05, 2018",1105,1110,1097,1105,147 212 000,1 161 267 048
254,"Oct 04, 2018",1113,1119,1102,1105,132 819 000,1 160 306 800
255,"Oct 03, 2018",1115,1116,1089,1112,160 819 000,1 167 535 018
256,"Oct 02, 2018",1120,1134,1115,1117,148 728 000,1 172 606 694
257,"Oct 01, 2018",1131,1136,1113,1121,178 803 000,1 176 729 377
258,"Sep 30, 2018",1138,1141,1118,1133,197 595 000,1 189 145 755
259,"Sep 29, 2018",1125,1146,1107,1140,155 294 000,1 196 413 734
260,"Sep 28, 2018",1140,1157,1117,1126,157 811 000,1 180 990 275
261,"Sep 27, 2018",1101,1148,1083,1142,175 910 000,1 197 271 025
262,"Sep 26, 2018",1106,1131,1088,1099,154 050 000,1 152 644 430
263,"Sep 25, 2018",1106,1127,1051,1109,183 283 000,1 162 154 626
264,"Sep 24, 2018",1159,1159,1103,1105,145 599 000,1 158 361 306
265,"Sep 23, 2018",1144,1173,1136,1160,162 975 000,1 215 135 239
266,"Sep 22, 2018",1167,1181,1124,1141,167 522 000,1 195 432 412
267,"Sep 21, 2018",1118,1175,1106,1167,247 448 000,1 221 646 386
268,"Sep 20, 2018",1080,1118,1067,1117,169 241 000,1 169 507 248
269,"Sep 19, 2018",1061,1100,1039,1079,177 159 000,1 129 294 906
270,"Sep 18, 2018",1031,1080,1029,1060,165 477 000,1 108 948 264
271,"Sep 17, 2018",1121,1134,1016,1034,164 247 000,1 082 130 433
272,"Sep 16, 2018",1130,1132,1104,1122,153 507 000,1 173 514 724
273,"Sep 15, 2018",1096,1155,1094,1137,156 127 000,1 189 030 669
274,"Sep 14, 2018",1118,1134,1096,1100,193 196 000,1 149 848 213
275,"Sep 13, 2018",1074,1130,1074,1113,192 363 000,1 163 683 576
276,"Sep 12, 2018",1130,1138,1028,1069,195 188 000,1 117 489 911
277,"Sep 11, 2018",1138,1153,1103,1132,182 031 000,1 182 631 090
278,"Sep 10, 2018",1129,1142,1106,1132,169 260 000,1 181 883 448
279,"Sep 09, 2018",1101,1164,1096,1124,177 693 000,1 173 628 169
280,"Sep 08, 2018",1170,1194,1079,1102,168 330 000,1 150 363 624
281,"Sep 07, 2018",1197,1217,1159,1170,179 172 000,1 220 891 281
282,"Sep 06, 2018",1187,1202,1129,1198,222 766 000,1 250 415 761
283,"Sep 05, 2018",1399,1408,1189,1189,237 372 000,1 239 960 876
284,"Sep 04, 2018",1408,1422,1381,1398,185 368 000,1 457 804 630
285,"Sep 03, 2018",1337,1452,1336,1406,285 040 000,1 466 432 108
286,"Sep 02, 2018",1325,1344,1304,1333,153 472 000,1 389 416 181
287,"Sep 01, 2018",1290,1341,1282,1322,182 146 000,1 378 166 806
288,"Aug 31, 2018",1292,1298,1260,1279,190 517 000,1 333 227 402
289,"Aug 30, 2018",1305,1314,1246,1292,168 594 000,1 346 435 285
290,"Aug 29, 2018",1319,1339,1290,1301,187 637 000,1 355 472 194
291,"Aug 28, 2018",1278,1336,1263,1328,218 125 000,1 382 704 495
292,"Aug 27, 2018",1259,1272,1231,1265,191 951 000,1 317 130 960
293,"Aug 26, 2018",1257,1267,1217,1256,203 880 000,1 307 509 032
294,"Aug 25, 2018",1260,1275,1245,1255,149 757 000,1 306 355 666
295,"Aug 24, 2018",1252,1262,1229,1259,173 345 000,1 309 972 377
296,"Aug 23, 2018",1222,1259,1213,1248,213 442 000,1 298 367 036
297,"Aug 22, 2018",1285,1352,1199,1224,251 982 000,1 272 638 608
298,"Aug 21, 2018",1240,1289,1232,1270,200 951 000,1 320 067 487
299,"Aug 20, 2018",1335,1351,1235,1244,231 594 000,1 292 682 599
300,"Aug 19, 2018",1329,1375,1297,1334,196 340 000,1 386 073 964
301,"Aug 18, 2018",1442,1450,1280,1327,281 553 000,1 379 026 774
302,"Aug 17, 2018",1355,1455,1323,1447,467 499 000,1 502 373 522
303,"Aug 16, 2018",1322,1491,1295,1390,551 305 000,1 443 249 228
304,"Aug 15, 2018",1203,1311,1168,1303,303 255 000,1 352 480 218
305,"Aug 14, 2018",1204,1204,1033,1174,296 484 000,1 218 035 903
306,"Aug 13, 2018",1326,1357,1206,1206,226 746 000,1 251 639 472
307,"Aug 12, 2018",1325,1361,1297,1320,197 004 000,1 368 887 724
308,"Aug 11, 2018",1429,1429,1264,1328,258 674 000,1 377 040 762
309,"Aug 10, 2018",1508,1534,1415,1430,273 050 000,1 482 370 257
310,"Aug 09, 2018",1519,1546,1446,1511,281 762 000,1 565 927 035
311,"Aug 08, 2018",1733,1733,1467,1514,421 786 000,1 569 043 105
312,"Aug 07, 2018",1875,2058,1715,1733,721 105 000,1 795 324 645
313,"Aug 06, 2018",1758,1876,1715,1866,347 516 000,1 933 550 690
314,"Aug 05, 2018",1647,1774,1629,1769,218 174 000,1 832 471 903
315,"Aug 04, 2018",1654,1691,1590,1642,236 249 000,1 699 613 246
316,"Aug 03, 2018",1502,1692,1422,1660,266 154 000,1 718 283 514
317,"Aug 02, 2018",1549,1560,1470,1499,158 264 000,1 551 330 763
318,"Aug 01, 2018",1622,1628,1509,1548,167 916 000,1 601 203 821
319,"Jul 31, 2018",1711,1712,1592,1624,184 935 000,1 680 297 040
320,"Jul 30, 2018",1693,1723,1667,1712,237 202 000,1 770 515 020
321,"Jul 29, 2018",1696,1703,1668,1691,154 180 000,1 748 907 136
322,"Jul 28, 2018",1700,1703,1668,1695,139 036 000,1 752 494 989
323,"Jul 27, 2018",1668,1713,1634,1695,169 216 992,1 752 256 870
324,"Jul 26, 2018",1649,1736,1641,1672,198 975 008,1 727 861 320
325,"Jul 25, 2018",1656,1680,1613,1650,165 899 008,1 704 679 339
326,"Jul 24, 2018",1609,1688,1575,1663,209 846 000,1 717 110 907
327,"Jul 23, 2018",1613,1681,1593,1616,170 788 992,1 668 963 769
328,"Jul 22, 2018",1636,1662,1608,1612,139 591 008,1 664 228 347
329,"Jul 21, 2018",1615,1657,1587,1635,148 059 008,1 687 708 216
330,"Jul 20, 2018",1741,1756,1586,1621,233 146 000,1 672 723 478
331,"Jul 19, 2018",1735,1782,1713,1739,222 698 000,1 794 208 527
332,"Jul 18, 2018",1792,1828,1722,1739,248 274 000,1 793 660 280
333,"Jul 17, 2018",1742,1812,1697,1795,266 384 992,1 850 259 320
334,"Jul 16, 2018",1666,1747,1655,1738,223 788 000,1 791 960 241
335,"Jul 15, 2018",1646,1688,1628,1660,164 426 000,1 710 806 696
336,"Jul 14, 2018",1633,1662,1615,1643,156 358 000,1 693 069 872
337,"Jul 13, 2018",1637,1676,1612,1629,241 580 000,1 677 582 750
338,"Jul 12, 2018",1646,1646,1580,1633,212 922 000,1 681 540 885
339,"Jul 11, 2018",1615,1673,1584,1646,249 134 000,1 694 668 377
340,"Jul 10, 2018",1821,1829,1608,1613,394 620 992,1 660 481 614
